Best Books to Read When the Snow Is Falling,https://goodreads.com/list/show/23652.Best_Books_to_Read_When_the_Snow_Is_Falling,"5,876 books
    
    3,568 voters"
The Best Adult Vampire Romance Books,https://goodreads.com/list/show/1193.The_Best_Adult_Vampire_Romance_Books,"1,204 books
    
    3,566 voters"
Best Books of the Decade: 1990s,https://goodreads.com/list/show/17.Best_Books_of_the_Decade_1990s,"3,077 books
    
    3,561 voters"
أفضل  الروايات العربية,https://goodreads.com/list/show/8012._,"583 books
    
    3,548 voters"
Most Depressing Book of All Time,https://goodreads.com/list/show/1154.Most_Depressing_Book_of_All_Time,"1,218 books
    
    3,524 voters"
New Adult Literature,https://goodreads.com/list/show/9525.New_Adult_Literature,"4,960 books
    
    3,510 voters"
100 Mysteries and Thrillers to Read in a Lifetime: Readers' Picks,https://goodreads.com/list/show/73283.100_Mysteries_and_Thrillers_to_Read_in_a_Lifetime_Readers_Picks,"2,083 books
    
    3,502 voters"
Best Post-Apocalyptic Fiction,https://goodreads.com/list/show/1840.Best_Post_Apocalyptic_Fiction,"1,165 books
    
    3,479 voters"
Series I've Given Up On...,https://goodreads.com/list/show/7354.Series_I_ve_Given_Up_On_,"977 books
    
    3,467 voters"
Title,List,Listfulldetails
Excellent Space Opera,https://goodreads.com/list/show/1127.Excellent_Space_Opera,"848 books
    
    3,465 voters"
Best History Books,https://goodreads.com/list/show/1362.Best_History_Books_,"3,372 books
    
    3,458 voters"
Children's Books I'll Re-Read No Matter How Old I Am,https://goodreads.com/list/show/3733.Children_s_Books_I_ll_Re_Read_No_Matter_How_Old_I_Am,"2,453 books
    
    3,451 voters"
Best First Book by New Author,https://goodreads.com/list/show/13822.Best_First_Book_by_New_Author,"1,397 books
    
    3,445 voters"
Best Book Titles,https://goodreads.com/list/show/276.Best_Book_Titles,"6,014 books
    
    3,437 voters"
Tattooed Love Boys,https://goodreads.com/list/show/27043.Tattooed_Love_Boys,"1,199 books
    
    3,405 voters"
"Books with Angels, Gods, or Demons",https://goodreads.com/list/show/2999.Books_with_Angels_Gods_or_Demons,"2,183 books
    
    3,384 voters"
Most Anticipated Romance Novels of 2019,https://goodreads.com/list/show/122629.Most_Anticipated_Romance_Novels_of_2019,"939 books
    
    3,382 voters"
Fictional males that make you squirm...in a good way ;),https://goodreads.com/list/show/13377.Fictional_males_that_make_you_squirm_in_a_good_way_,"1,542 books
    
    3,371 voters"
